"TradeDate","Expiry","Strike","SpotIn","PremiumIn","SpotOut","PremiumOut","PnL"
2018-07-31,2018-07-31,2815,2816.45,1.75,2816.45,11.8,0.3
2018-07-31,2018-07-31,2815,2816.45,1.75,2816.45,13.5,0.3
2018-07-31,2018-07-31,2815,2816.45,1.75,2816.45,16.34,0.3
2018-07-31,2018-07-31,2815,2816.45,1.75,2816.45,18.2,0.3
2018-07-31,2018-07-31,2815,2816.45,1.75,2816.45,19.45,0.3
2018-07-31,2018-07-31,2815,2816.45,1.75,2816.45,21.35,0.3
2018-07-31,2018-07-31,2815,2816.45,1.75,2816.45,22.94,0.3
2018-07-31,2018-07-31,2815,2816.45,1.75,2816.45,24.45,0.3
2018-07-31,2018-07-31,2815,2816.45,1.75,2816.45,26.3,0.3
2018-07-31,2018-07-31,2815,2816.45,1.75,2816.45,27.74,0.3
2018-07-31,2018-07-31,2815,2816.45,1.75,2816.45,28.4,0.3
2018-07-31,2018-07-31,2815,2816.45,1.75,2816.45,29.99,0.3
2018-07-31,2018-07-31,2815,2816.45,1.75,2816.45,31.65,0.3
2018-07-31,2018-07-31,2815,2816.45,1.75,2816.45,33.05,0.3
2018-07-31,2018-07-31,2815,2816.45,1.75,2816.45,33.6,0.3
2018-07-31,2018-07-31,2815,2816.45,1.75,2816.45,34.7,0.3
2018-07-31,2018-07-31,2815,2816.45,1.75,2816.45,38.61,0.3
2018-07-31,2018-07-31,2815,2816.45,1.75,2816.45,42.81,0.3
2018-07-31,2018-07-31,2815,2816.45,1.75,2816.45,47.2,0.3
2018-07-31,2018-07-31,2815,2816.45,1.75,2816.45,50.94,0.3
2018-07-31,2018-07-31,2815,2816.45,1.75,2816.45,58.44,0.3
2018-07-31,2018-07-31,2815,2816.45,1.75,2816.45,73.2,0.3
2018-07-31,2018-07-31,2815,2816.45,1.75,2816.45,93.9,0.3
2018-08-31,2018-08-31,2900,2901.07,1.85,2901.07,1.85,0.78
2018-08-31,2018-08-31,2900,2901.07,1.85,2901.07,7.25,0.78
2018-08-31,2018-08-31,2900,2901.07,1.85,2901.07,9.7,0.78
2018-08-31,2018-08-31,2900,2901.07,1.85,2901.07,13.54,0.78
2018-08-31,2018-08-31,2900,2901.07,1.85,2901.07,15.34,0.78
2018-08-31,2018-08-31,2900,2901.07,1.85,2901.07,17.61,0.78
2018-08-31,2018-08-31,2900,2901.07,1.85,2901.07,20.3,0.78
2018-08-31,2018-08-31,2900,2901.07,1.85,2901.07,21.25,0.78
2018-08-31,2018-08-31,2900,2901.07,1.85,2901.07,23.2,0.78
2018-08-31,2018-08-31,2900,2901.07,1.85,2901.07,24.86,0.78
2018-08-31,2018-08-31,2900,2901.07,1.85,2901.07,26.6,0.78
2018-08-31,2018-08-31,2900,2901.07,1.85,2901.07,28.36,0.78
2018-08-31,2018-08-31,2900,2901.07,1.85,2901.07,30.51,0.78
